	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
ABCB10	3.77590853125	3.6397621297500002	3.57749021625	2.9209624117499997	3.32077808975	3.1556801110000006	5.1038376780000005	2.82410396225	3.4538057264999997
ABCB11	7.140962647	7.072673034	2.894009127	7.351528636	8.401883664	5.163669458999999	4.8932428119999996	8.233437948999999	5.638954351000001
ABCB4	3.1900325589999996	1.278700411	4.05805795	2.9160069739999996	3.261417813	1.369033423	1.253270836	1.771669537	3.647545741
ABCB5	5.5957492879999995	3.179626634	1.896755026	5.319888269	6.527652205	2.6829895269999997	2.8552781030000003	1.7294656069999998	6.7489578439999995
ABCB6	4.954111448500001	4.522910039	5.202508167	4.628702238000001	4.8667435645	5.7613296685	5.574393927999999	5.0170010055	5.070087215
ABCB7	4.681844171	6.480361746	8.885817369	6.6746612039999995	6.5563297579999995	7.76935043	3.943804079	6.538961832999999	8.114130832999999
ABCB8	3.8153209919999997	7.329780538	5.7995928029999995	4.65278065	4.367913971	4.806741434	5.739097799	4.579816157	2.856042309
ABCB9	3.0282154785	2.6138555410000004	2.3438318485000003	4.201945154	4.114424324	3.977355554	3.784124711	3.6886523649999994	1.3200114680000001
ABCC1	4.285612915	5.137501474	5.348333062	2.116327971	5.019661308	3.97092759	4.912013795	4.566167698	6.228170381
ABCC10	1.39351386	2.426622465	1.671606249	1.751189673	2.631189035	1.843667735	1.959742736	1.7202578219999998	1.997397284
ABCC11	5.014292073	1.680594419	4.3460292460000005	6.625878096	6.496585714	8.149994975	8.651164158	8.583082652	6.621204933
ABCC12	4.359511169	4.60137886	5.328515264	6.1566146879999994	6.347640821000001	4.039323533	5.671947065	5.5771492810000005	5.321186862
ABCC13	4.75464507	4.260339875	5.4132197920000005	5.087757705333334	4.481547572	5.329232993000001	5.726662366	5.556065099666667	5.370883093333333
ABCC2	4.664382464	5.7466495085	6.267907213000001	4.7346104475	5.8299316135	4.7013119015	6.6533669475	3.8455807075	6.4935242245
ABCC3	5.14627005	7.240209575	6.420257482999999	5.595020452999999	5.49775329	6.027777512999999	6.97369761	6.653652856	6.353894599999999
ABCC4	2.939015378	3.9852367013333327	2.9474066876666662	4.241846448	4.201159354666667	4.478782595666667	2.0513828359999997	1.9696975436666666	3.477457810666667
ABCC5	2.384073229	3.7050751985	2.8057984545	3.1558593715	3.0554385415	3.257347468	3.1705447015	3.0174516615	3.4679831145
ABCC6	5.0361373653333334	3.564585935	5.224076634333334	6.127867676	5.632595812333334	5.935375065666666	3.9115709623333337	6.122931357333333	4.574976729333334
ABCC8	6.246041718	7.673990166	7.8239799329999995	7.6176401270000005	6.426438396	7.870643551000001	7.485861172999999	6.997304855	7.2304365520000005
ABCC9	3.8696630659999998	3.1257635780000004	4.435024430333333	3.054360544	3.707258866	3.6849510123333338	3.890468028333333	5.4681973536666675	4.186036064666666
ABCD1	4.891416442	5.429978843	5.208120753	5.613204907	7.0466830620000005	4.899544839	5.757442137000001	8.592864818999999	5.6692707339999995
ABCD2	7.611747566	7.723922386	9.302774193	8.419648238999999	7.125588873	7.475250825	8.037015235	8.973629617	9.037159369
