Gene_Symbol	GSM1187673	GSM1187674	GSM1187675	GSM1187676	GSM1187677	GSM1187678
CTSH	9.090530000000001	7.463260000000001	9.3276	9.499839999999999	8.33588	8.81062
CTSK	13.0135	12.7188	13.2652	13.6046	12.884	12.3493
CTSL	11.1704	10.8918	11.5611	12.6047	11.8512	11.4289
CTSL3P	5.92168	5.97012	6.05753	6.00743	5.99535	5.95597
CTSO	10.504000000000001	10.3004	10.584000000000001	10.6968	10.595	10.3825
CTSS	6.2815199999999995	6.27379	7.0737	6.558910000000001	6.31016	5.72797
CTSV	6.04539	5.9182	6.1574599999999995	6.054180000000001	5.7733099999999995	5.96284
CTSW	6.96108	7.00961	6.958989999999999	6.97354	6.85664	7.004989999999999
CTSZ	11.412	11.3877	11.2166	11.0605	11.290999999999999	11.3064
CTTN	10.6583	10.6203	10.7653	10.7487	10.6835	10.6834
CTTNBP2	5.95173	6.09021	6.25186	5.68476	5.620080000000001	5.78407
CTTNBP2NL	10.9805	10.9749	10.9592	10.6811	11.0681	11.0217
CTU1	9.02378	8.8461	8.77561	8.90584	8.84655	8.98034
CTU2	8.57501	8.6016	8.47734	8.37027	8.48214	8.487969999999999
CTXN1	8.930710000000001	8.88025	8.75827	8.542010000000001	8.73482	8.850439999999999
CTXN3	5.73409	5.95587	5.97896	5.91846	5.7409300000000005	5.8289
CUBN	6.67205	7.21355	6.90375	6.728	7.030869999999999	7.037380000000001
CUEDC1	9.27295	9.518469999999999	9.37962	9.482669999999999	9.10431	9.1283
CUEDC2	9.50367	9.50934	9.69156	9.83162	9.6261	9.7262
CUL1	10.6253	10.5486	10.7707	10.626	10.6596	10.7519
CUL2	9.73382	9.61813	9.82053	9.827869999999999	9.75976	9.91152
CUL3	10.5656	10.3753	10.6242	10.7525	10.6874	10.7008
CUL4A	9.63643	9.72252	9.769169999999999	9.79316	9.773010000000001	9.65831
CUL4B	9.94604	9.827119999999999	9.87053	10.0927	10.2325	9.89622
CUL5	8.77967	8.477260000000001	8.74907	8.745619999999999	8.723980000000001	8.73586
CUL7	9.95852	9.953289999999999	9.92205	9.9354	10.2052	10.1604
CUL9	8.461969999999999	8.49815	8.41286	8.51468	8.49259	8.61779
CUTA	11.5641	11.3935	11.4947	11.5813	11.5309	11.485
CUTC	7.96287	7.967210000000001	7.853460000000001	8.714310000000001	8.12341	8.15045
CUX1	9.91408	9.94663	10.0078	9.776539999999999	9.72123	9.65932
CUX2	7.621760000000001	7.34059	7.3421199999999995	7.27115	7.29478	7.337289999999999
CWC15	8.77695	8.487260000000001	8.70554	8.70876	8.79343	8.68939
CWC22	8.93197	8.64718	9.01793	9.157110000000001	9.044780000000001	8.98299
CWC25	8.55978	8.508410000000001	8.71772	8.79982	8.770610000000001	8.648019999999999
CWC27	8.26313	7.9951	8.39064	8.33946	8.44805	8.19326
CWF19L1	8.2335	8.08641	8.68595	8.38612	8.49057	8.51713
CWF19L2	6.6923699999999995	6.777610000000001	6.688210000000001	6.840139999999999	6.56733	6.667489999999999
